room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13708085,1473,62777287,Shared room,,Dublin,,Dublin city and suburbs,3,3.5,2,1.0,,24.0,,2017-07-22 15:35:09.619376,53.407842,-6.287934,0101000020E610000038A0A52BD82619C0B6F7A92A34B44A40
15096320,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,10,4.5,3,1.0,,24.0,,2017-07-22 15:35:09.611007,53.333772,-6.290966,0101000020E6100000E3FDB8FDF22919C00729780AB9AA4A40
18431922,1473,122029189,Shared room,,Dublin,,Dublin city and suburbs,5,5.0,1,1.0,,22.0,,2017-07-22 15:35:09.608357,53.349435,-6.279292,0101000020E61000004223D8B8FE1D19C0F4893C49BAAC4A40
2951710,1473,15068776,Shared room,,Dublin,,Dublin city and suburbs,26,4.5,2,1.0,,36.0,,2017-07-22 15:35:09.605396,53.387307,-6.304596,0101000020E61000003CF88903E83719C08541994693B14A40
9758404,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,14,4.5,3,1.0,,30.0,,2017-07-22 15:35:06.291849,53.336871,-6.276244,0101000020E61000006ADD06B5DF1A19C044FCC3961EAB4A40
13583207,1473,47251894,Shared room,,Dublin,,Dublin city and suburbs,3,2.5,1,1.0,,24.0,,2017-07-22 15:35:06.289520,53.358801,-6.249143,0101000020E6100000FC1BB4571FFF18C0D462F030EDAD4A40
14653711,1473,89743027,Shared room,,Dublin,,Dublin city and suburbs,20,4.5,1,1.0,,23.0,,2017-07-22 15:35:06.285792,53.365473,-6.259684,0101000020E6100000882D3D9AEA0919C01749BBD1C7AE4A40
14521997,1473,89743027,Shared room,,Dublin,,Dublin city and suburbs,18,4.5,1,1.0,,23.0,,2017-07-22 15:35:06.282258,53.366801,-6.258497,0101000020E6100000DA740470B30819C0EF91CD55F3AE4A40
12912144,1473,29088762,Shared room,,Dublin,,Dublin city and suburbs,38,4.5,1,1.0,,27.0,,2017-07-22 15:35:06.279983,53.352201,-6.275577,0101000020E6100000821E6ADB301A19C02B4F20EC14AD4A40
17544947,1473,47251894,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,30.0,,2017-07-22 15:35:06.277869,53.358717,-6.245786,0101000020E610000035423F53AFFB18C076C24B70EAAD4A40
9825657,1473,50271092,Shared room,,Dublin,,Dublin city and suburbs,35,4.0,3,1.0,,30.0,,2017-07-22 15:35:06.275730,53.336537,-6.275363,0101000020E6100000211D1EC2F81919C06D72F8A413AB4A40
14702839,1473,40814004,Shared room,,Dublin,,Dublin city and suburbs,9,5.0,2,1.0,,24.0,,2017-07-22 15:35:06.273452,53.378281,-6.235735,0101000020E61000001A170E8464F118C05ED905836BB04A40
11788067,1473,62777287,Shared room,,Dublin,,Dublin city and suburbs,7,4.0,6,1.0,,22.0,,2017-07-22 15:35:06.270573,53.406251,-6.289662,0101000020E61000006893C3279D2819C0D07B630800B44A40
19109728,1473,133511515,Shared room,,Dublin,,Dublin city and suburbs,6,5.0,1,1.0,,30.0,,2017-07-22 15:35:06.266008,53.360263,-6.259588,0101000020E610000077BCC96FD10919C0BC7A15191DAE4A40
